nome,url,porcao,calorias,carboidratos,proteinas,gorduras,gorduras_saturadas,fibras,acucares,sodio,data_coleta,categoria,codigo,marca
Leite UHT Integral Qualitá Caixa com Tampa 1l,https://www.paodeacucar.com/produto/164887/leite-uht-integral-qualita-caixa-com-tampa-1l,200.0,116.0,9.2,6.2,6.0,3.5,0.0,0.0,129.0,2025-10-23 06:47:57,Não especificada,7895000318636,Qualitá
"Suco Integral Laranja Natural One Refrigerado Garrafa 1,3l","https://www.paodeacucar.com/produto/1636196/suco-integral-laranja-natural-one-refrigerado-garrafa-1,3l",200.0,83.0,19.0,1.7,0.0,0.0,0.0,16.0,0.0,2025-10-23 06:51:17,Não especificada,7899916918768,Natural One
"Refrigerante Coca-Cola Original Garrafa 1,5l","https://www.paodeacucar.com/produto/13204/refrigerante-coca-cola-original-garrafa-1,5l",200.0,88.0,21.0,0.0,0.0,0.0,0.0,21.0,10.0,2025-10-23 06:52:33,Não especificada,7894900011753,Coca-Cola
"Suco Integral Uva Tinto Aurora Garrafa 1,5l","https://www.paodeacucar.com/produto/109875/suco-integral-uva-tinto-aurora-garrafa-1,5l",200.0,114.0,28.0,0.42,0.0,0.0,0.26,0.0,1.42,2025-10-23 06:52:52,Não especificada,7891141019838,Aurora
Néctar Uva Del Valle Caixa 1l,https://www.paodeacucar.com/produto/53077/nectar-uva-del-valle-caixa-1l,200.0,84.0,21.0,0.0,0.0,0.0,0.0,21.0,9.5,2025-10-23 06:53:11,Não especificada,7898341430098,del Valle
Suco Uva e Maçã Natural One Ambiente Garrafa 900ml,https://www.paodeacucar.com/produto/339050/suco-uva-e-maca-natural-one-ambiente-garrafa-900ml,200.0,96.0,24.0,1.5,0.0,0.0,2.0,21.0,24.0,2025-10-23 06:54:36,Não especificada,7899916904839,Natural One
Suco Integral Maçã Natural One Refrigerado Garrafa 900ml,https://www.paodeacucar.com/produto/292195/suco-integral-maca-natural-one-refrigerado-garrafa-900ml,200.0,84.0,21.0,0.0,0.0,0.0,0.0,15.0,0.0,2025-10-23 06:56:25,Não especificada,7898553442940,Natural One
Refrigerante Coca-Cola Garrafa 200ml,https://www.paodeacucar.com/produto/365990/refrigerante-coca-cola-garrafa-200ml,200.0,88.0,21.0,0.0,0.0,0.0,0.0,21.0,10.0,2025-10-23 06:57:08,Não especificada,78908901,Coca-Cola
Néctar Caju Del Valle Caixa Sem Adição de Açúcar 1L,https://www.paodeacucar.com/produto/22729/nectar-caju-del-valle-caixa-sem-adicao-de-acucar-1l,200.0,13.0,3.1,0.0,0.0,0.0,0.0,2.8,0.0,2025-10-23 06:57:47,Não especificada,7898341430081,del Valle
Água De Coco Kero Coco Caixa 1L,https://www.paodeacucar.com/produto/47384/agua-de-coco-kero-coco-caixa-1l,200.0,40.0,10.0,0.0,0.0,0.0,0.0,10.0,12.0,2025-10-23 06:59:07,Não especificada,7896828000239,Kero Coco
Água de Coco Esterilizada Taeq Caixa 1l,https://www.paodeacucar.com/produto/54940/agua-de-coco-esterilizada-taeq-caixa-1l,200.0,44.0,11.0,0.0,0.0,0.0,0.0,0.0,32.0,2025-10-23 06:59:28,Não especificada,7895000292035,Taeq
Cerveja Lager Puro Malte Amstel Lata 350ml,https://www.paodeacucar.com/produto/1606864/cerveja-lager-puro-malte-amstel-lata-350ml,100.0,37.0,2.7,0.4,0.0,0.0,0.0,0.0,3.92,2025-10-23 07:00:04,Não especificada,7896045506934,Amstel
Leite Longa Vida Semidesnatado QUALITÁ 1 Litro,https://www.paodeacucar.com/produto/145673/leite-longa-vida-semidesnatado-qualita-1-litro,200.0,83.0,9.9,6.0,2.2,1.3,0.0,0.0,122.0,2025-10-23 07:00:42,Não especificada,7895000334254,Qualitá
Bebida Adoçada Maracujá Maguary Caixa 1l,https://www.paodeacucar.com/produto/95963/bebida-adocada-maracuja-maguary-caixa-1l,200.0,92.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-23 07:01:21,Não especificada,7896000530363,Maguary
Polpa de Fruta Abacaxi Qualitá Pacote 100g,https://www.paodeacucar.com/produto/1614978/polpa-de-fruta-abacaxi-qualita-pacote-100g,100.0,45.0,13.0,2.1,0.0,0.0,0.0,13.0,19.0,2025-10-23 07:01:40,Não especificada,7895000528950,Qualitá
Néctar Uva Del Valle Caixa 1l,https://www.paodeacucar.com/produto/168623/nectar-uva-del-valle-caixa-1l,200.0,33.0,7.9,0.0,0.0,0.0,0.0,7.8,0.0,2025-10-23 07:02:02,Não especificada,7898341430777,del Valle
Polpa de Fruta Morango Qualitá Pacote 100g,https://www.paodeacucar.com/produto/1614966/polpa-de-fruta-morango-qualita-pacote-100g,100.0,20.0,3.0,2.3,0.0,0.0,0.0,3.0,23.0,2025-10-23 07:02:21,Não especificada,7895000529094,Qualitá
Polpa de Fruta Manga Qualitá Pacote 100g,https://www.paodeacucar.com/produto/1614967/polpa-de-fruta-manga-qualita-pacote-100g,100.0,66.0,15.0,1.5,0.0,0.0,0.0,14.0,16.0,2025-10-23 07:02:42,Não especificada,7895000529070,Qualitá
Leite Semi Desnatado NINHO Levinho 1L,https://www.paodeacucar.com/produto/463526/leite-semi-desnatado-ninho-levinho-1l,200.0,84.0,9.3,6.4,2.4,1.5,0.0,9.3,126.0,2025-10-23 07:03:01,Não especificada,7898215157427,Ninho
Leite Em Pó Ninho Integral Lata 380g,https://www.paodeacucar.com/produto/586550/leite-em-po-ninho-integral-lata-380g,25.0,124.0,9.4,6.4,0.3,4.4,0.0,9.0,98.0,2025-10-23 07:03:20,Não especificada,7891000325858,Ninho
Polpa de Fruta Goiaba Qualitá Pacote 100g,https://www.paodeacucar.com/produto/1614971/polpa-de-fruta-goiaba-qualita-pacote-100g,100.0,36.0,6.9,1.9,0.0,0.0,0.0,5.9,18.0,2025-10-23 07:04:20,Não especificada,7895000529056,Qualitá
Polpa de Fruta Acerola Qualitá Pacote 100g,https://www.paodeacucar.com/produto/1617449/polpa-de-fruta-acerola-qualita-pacote-100g,100.0,29.0,5.0,3.0,0.0,0.0,0.0,5.0,226.0,2025-10-23 07:04:59,Não especificada,7895000529001,Qualitá
Polpa de Fruta Cajá Qualitá Pacote 100g,https://www.paodeacucar.com/produto/1614968/polpa-de-fruta-caja-qualita-pacote-100g,100.0,37.0,6.6,2.4,0.0,0.0,0.0,5.1,19.0,2025-10-23 07:05:18,Não especificada,7895000529025,Qualitá
Polpa de Fruta Uva Qualitá Pacote 100g,https://www.paodeacucar.com/produto/1614970/polpa-de-fruta-uva-qualita-pacote-100g,100.0,57.0,12.0,1.8,0.0,0.0,0.0,11.0,16.0,2025-10-23 07:05:55,Não especificada,7895000529100,Qualitá
Polpa de Fruta Maracujá De Marchi Pacote 100g,https://www.paodeacucar.com/produto/219428/polpa-de-fruta-maracuja-de-marchi-pacote-100g,100.0,68.0,12.0,2.0,2.1,0.0,1.0,0.0,0.0,2025-10-23 07:06:14,Não especificada,7896519210602,de Marchi
Polpa de Fruta Abacaxi com Hortelã Qualitá Pacote 100g,https://www.paodeacucar.com/produto/1614982/polpa-de-fruta-abacaxi-com-hortela-qualita-pacote-100g,100.0,38.0,8.1,2.4,0.0,0.0,0.0,8.1,34.0,2025-10-23 07:06:33,Não especificada,7895000528998,Qualitá
