acucares,calorias,carboidratos,fibras,gorduras,gorduras_saturadas,nome,porcao,proteinas,sodio,url
0,139,22,2.5,4.5,0.3,Batata Congelada Extra Crocante Airfryer McCain 600g,85,1.9,153,https://www.paodeacucar.com/produto/1419558/batata-congelada-extra-crocante-airfryer-mccain-600g
0,95,17,2.2,2.1,1,Batata Congelada Tradicional McCain 1.5kg,85,2,44,https://www.paodeacucar.com/produto/1467193/batata-congelada-tradicional-mccain-1-5kg
0,144,17,0,7,2.4,Pão de Queijo Congelado Tradicional Forno de Minas Pacote 400g,50,3.3,287,https://www.paodeacucar.com/produto/48266/pao-de-queijo-congelado-tradicional-forno-de-minas-pacote-400g
0,143,17,0,6.9,2.3,Pão de Queijo Congelado Coquetel Forno de Minas Pacote 400g,50,3.3,287,https://www.paodeacucar.com/produto/49915/pao-de-queijo-congelado-coquetel-forno-de-minas-pacote-400g
0,110,0,0,0,0,"Sorvete Napolitano Flocos Tradicional Nestlé Pote 1,5l",60,0,0,"https://www.paodeacucar.com/produto/412052/sorvete-napolitano-flocos-tradicional-nestle-pote-1,5l"
0,0,0,0,0,0,Pão de Queijo Tradicional QUALITÁ Pacote 1kg,0,0,0,https://www.paodeacucar.com/produto/284448/pao-de-queijo-tradicional-qualita-pacote-1kg
13,103,15,0,4.4,2.2,"Sorvete Creme Tradicional Nestlé Pote 1,5l",60,1.1,23,"https://www.paodeacucar.com/produto/345807/sorvete-creme-tradicional-nestle-pote-1,5l"
0,157,19,0,7.3,1.9,Waffle Congelado Forno de Minas Pacote 280g 8 Unidades,50,3.7,255,https://www.paodeacucar.com/produto/1441725/waffle-congelado-forno-de-minas-pacote-280g-8-unidades
0,56,0,0,0,0,Brócolis Congelados Higienizado Taeq Pacote 1kg,130,0,0,https://www.paodeacucar.com/produto/697120/brocolis-congelados-higienizado-taeq-pacote-1kg
0,389,36,3,16.5,7.1,Lasanha Bolonhesa Sadia Pacote 600g,300,24,766.5,https://www.paodeacucar.com/produto/344410/lasanha-bolonhesa-sadia-pacote-600g
10,110,16,0.8,4.4,2.4,"Sorvete Chocolate Tradicional Nestlé Pote 1,5l",60,1.1,65,"https://www.paodeacucar.com/produto/622051/sorvete-chocolate-tradicional-nestle-pote-1,5l"
0,164,16,0,10,6.1,Sorvete Morango Häagen-Dazs Pote 473ml,60,2.6,52,https://www.paodeacucar.com/produto/165960/sorvete-morango-haagen-dazs-pote-473ml
0,0,0,0,0,0,Morango Congelado Inteiro Prático Pouch 400g,0,0,0,https://www.paodeacucar.com/produto/1618764/morango-congelado-inteiro-pratico-pouch-400g
2.7,247,25,2.4,11,4.4,Pizza Calabresa Sadia Caixa 460g,100,12,451,https://www.paodeacucar.com/produto/51967/pizza-calabresa-sadia-caixa-460g
14,233,16,0.6,18,12,Mini Sorvete Baunilha Cobertura Chocolate Kibon Eski-bon Caixa 92g,60,2.3,29,https://www.paodeacucar.com/produto/28056/mini-sorvete-baunilha-cobertura-chocolate-kibon-eski-bon-caixa-92g
0,0,0,0,0,0,Sorvete Baunilha Cobertura Biscoitos Triturados de Chocolate com e sem Recheio Oreo Mini Bites Pote 72g,0,0,0,https://www.paodeacucar.com/produto/1628023/sorvete-baunilha-cobertura-biscoitos-triturados-de-chocolate-com-e-sem-recheio-oreo-mini-bites-pote-72g
0,0,0,0,0,0,Framboesas Franui Chocolate Amargo 150g,0,0,0,https://www.paodeacucar.com/produto/1615668/framboesas-franui-chocolate-amargo-150g
1,150,17,0,7.3,2.7,Pão de Queijo Congelado Forno de Minas Pacote 820g,50,4.1,289,https://www.paodeacucar.com/produto/1600558/pao-de-queijo-congelado-forno-de-minas-pacote-820g
0,0,0,0,0,0,"Batata Pré-Frita Palito Congelada Qualitá Pacote 1,5kg",0,0,0,"https://www.paodeacucar.com/produto/1625374/batata-pre-frita-palito-congelada-qualita-pacote-1,5kg"
0,0,0,0,0,0,Sorvete Caramelo Salgado Bacio di Latte Pote 490ml,0,0,0,https://www.paodeacucar.com/produto/1630387/sorvete-caramelo-salgado-bacio-di-latte-pote-490ml
0,56,0,0,0,0,Brócolis Congelados Higienizado Taeq Pacote 300g,130,0,0,https://www.paodeacucar.com/produto/677491/brocolis-congelados-higienizado-taeq-pacote-300g
0,159,16,0,9.4,6.1,Sorvete Doce de Leite HÄAGEN DAZS Pote 473ml,60,2.7,50,https://www.paodeacucar.com/produto/21401/sorvete-doce-de-leite-haagen-dazs-pote-473ml
0,0,0,0,0,0,Framboesa Franui Pink Coberta Choc Branco e Framboesa 150g,0,0,0,https://www.paodeacucar.com/produto/1630159/framboesa-franui-pink-coberta-choc-branco-e-framboesa-150g
38,152,13,0,0.8,6.4,Sorvete de Baunilha e Cookies HÄAGEN DAZS Pote 473ml,60,2.6,41,https://www.paodeacucar.com/produto/23832/sorvete-de-baunilha-e-cookies-haagen-dazs-pote-473ml
0,0,0,0,0,0,Sorvete Ouro Branco Lacta Pote 485ml,0,0,0,https://www.paodeacucar.com/produto/1627995/sorvete-ouro-branco-lacta-pote-485ml
0,159,16,0,9.4,6.1,Sorvete Doce de Leite HÄAGEN DAZS Pote 473ml,60,2.7,50,https://www.paodeacucar.com/produto/21401/sorvete-doce-de-leite-haagen-dazs-pote-473ml
0,0,0,0,0,0,Framboesa Franui Pink Coberta Choc Branco e Framboesa 150g,0,0,0,https://www.paodeacucar.com/produto/1630159/framboesa-franui-pink-coberta-choc-branco-e-framboesa-150g
38,152,13,0,0.8,6.4,Sorvete de Baunilha e Cookies HÄAGEN DAZS Pote 473ml,60,2.6,41,https://www.paodeacucar.com/produto/23832/sorvete-de-baunilha-e-cookies-haagen-dazs-pote-473ml
0,0,0,0,0,0,Sorvete Ouro Branco Lacta Pote 485ml,0,0,0,https://www.paodeacucar.com/produto/1627995/sorvete-ouro-branco-lacta-pote-485ml
0,0,0,0,0,0,Mini Sorvete Doce de Leite Cobertura Chocolate Kibon Caixa 92g,0,0,0,https://www.paodeacucar.com/produto/1616719/mini-sorvete-doce-de-leite-cobertura-chocolate-kibon-caixa-92g
0,0,0,0,0,0,Sorvete Sonho de Valsa Lacta Pote 900ml,0,0,0,https://www.paodeacucar.com/produto/1627998/sorvete-sonho-de-valsa-lacta-pote-900ml
0,162,14,1.3,10.4,5.6,Sorvete Chocolate com Amêndoas La Basque Premium Ice Cream Pote 500ml,60,3.1,36,https://www.paodeacucar.com/produto/426133/sorvete-chocolate-com-amendoas-la-basque-premium-ice-cream-pote-500ml
0,148,12,0,0.5,6.2,Sorvete de Baunilha HÄAGEN DAZS Pote 473ml,60,2.6,43,https://www.paodeacucar.com/produto/107614/sorvete-de-baunilha-haagen-dazs-pote-473ml
0.8,204,16,0,7,1.8,Empanado de Frango Peito em Pedaços Tempurá Sadia Pacote 300g,130,20,633,https://www.paodeacucar.com/produto/278140/empanado-de-frango-peito-em-pedacos-tempura-sadia-pacote-300g
16,160,18,0.7,0.3,5.5,Sorvete Doce de Leite e Chocolate Recheio Doce de Leite Ben & Jerry's Core Pote 458ml,60,2.5,39,https://www.paodeacucar.com/produto/481177/sorvete-doce-de-leite-e-chocolate-recheio-doce-de-leite-ben---jerrys-core-pote-458ml
0,432.5,42,2,19,11,Lasanha Bolonhesa Sadia Pacote 350g,350,23,1092,https://www.paodeacucar.com/produto/87129/lasanha-bolonhesa-sadia-pacote-350g
0,149,16,0,7.5,2.9,Pão de Queijo Congelado Forno de Minas Pacote 400g,50,4.3,286,https://www.paodeacucar.com/produto/472893/pao-de-queijo-congelado-forno-de-minas-pacote-400g
11,115,17,0,4.9,2.7,"Sorvete Flocos Kibon Cremosíssimo Pote 1,5l",60,1.1,29,"https://www.paodeacucar.com/produto/347351/sorvete-flocos-kibon-cremosissimo-pote-1,5l"
16,148,17,1.2,0.2,4.8,Sorvete de Chocolate Fudge Brownie BEN&JERRYS Pote 458ml,60,2.6,48,https://www.paodeacucar.com/produto/314481/sorvete-de-chocolate-fudge-brownie-ben-jerrys-pote-458ml
0,0,0,0,0,0,Crepe Congelado Francês Recheio Cookies com Chocolate Branco Èze Crêperie Caixa 200g,0,0,0,https://www.paodeacucar.com/produto/1630193/crepe-congelado-frances-recheio-cookies-com-chocolate-branco-eze-creperie-caixa-200g
13,97,15,0,3.4,1.8,"Sorvete Napolitano Kibon Cremosíssimo Pote 1,5l",60,1.4,44,"https://www.paodeacucar.com/produto/395876/sorvete-napolitano-kibon-cremosissimo-pote-1,5l"
5.5,90,6.6,0.3,0.1,3.4,Bombom de Sorvete Pistacchio Bacio di Latte Casa Pote 144g,25,1.5,29,https://www.paodeacucar.com/produto/1624642/bombom-de-sorvete-pistacchio-bacio-di-latte-casa-pote-144g
0,0,0,0,0,0,Mini Sorvete Baunilha Cobertura Chocolate Kibon Eski-bon Pote 184g,0,0,0,https://www.paodeacucar.com/produto/1630424/mini-sorvete-baunilha-cobertura-chocolate-kibon-eski-bon-pote-184g
0,111,15,0.8,4.9,2.3,"Sorvete Chocolate Qualitá Pote 1,5l",60,1.9,32,"https://www.paodeacucar.com/produto/381039/sorvete-chocolate-qualita-pote-1,5l"
27,328,30,1.4,22,14,"Mini Sorvete Original Cobertura Chocolate Kibon Chicabon Caixa 106,5g",92,2.8,56,"https://www.paodeacucar.com/produto/1616720/mini-sorvete-original-cobertura-chocolate-kibon-chicabon-caixa-106,5g"
5.4,81,6.1,0.5,0.1,3.6,Bombom de Sorvete Cioccolato Belga Bacio di Latte Casa Pote 144g,25,1.2,18,https://www.paodeacucar.com/produto/1624643/bombom-de-sorvete-cioccolato-belga-bacio-di-latte-casa-pote-144g
